id,source_id,category,answerability,retrieval_scoring,question,page_id,document_title,rank_bm25,rank_knn,rank_minmax,rank_rrf,rank_rrf_prod,gold_bm25_chunk_rank,gold_bm25_score,gold_knn_chunk_rank,gold_knn_score,bm25_top_score,knn_top_score,top1_bm25,top1_knn,top1_minmax,top1_rrf,top5_rrf
1,1,keyword,answerable,positive,DO-Solution의 4대 핵심 모듈 구성,326795267,온보딩_개요,2,5,3,2,2,2,18.3803,7,0.7187,24.2463,0.7292,370540659,207388673,396427271,396427271,396427271 / 326795267 / 207388673 / 224526365 / 386826253
2,3,keyword,answerable,positive,신입 온보딩 RAG 2.0 실습에서 등록하는 3개 문서,382173195,데모 플레이북 (DO 2.0),2,2,2,2,2,4,33.7744,2,0.7707,40.228,0.777,382697485,382697485,382697485,382697485,382697485 / 382173195 / 367034372 / 332791822 / 386859011
3,4,keyword,answerable,positive,로이드케이의 핵심가치 Core Value 3가지,101220355,신규입사자 온보딩 가이드,13,0,32,33,37,41,13.1821,0,,35.6112,0.7792,20776301,20776301,20776301,20776301,20776301 / 184451074 / 362086433 / 345276419 / 351109436
4,5,keyword,answerable,positive,롯데카드 프로젝트 일정표 파일 있어?,98926876,01_구축 일정 관리(WBS),3,1,1,1,1,4,14.0494,1,0.7773,25.0665,0.7773,370540717,98926876,98926876,98926876,98926876 / 370540717 / 396918794 / 396296208 / 385155093
5,6,keyword,answerable,positive,사업자등록증 파일 있나요?,20776268,사업자등록증,1,1,1,1,1,1,86.39,1,0.834,86.39,0.834,20776268,20776268,20776268,20776268,20776268 / 23921100 / 395706434 / 334823510 / 25624594
6,8,keyword,answerable,positive,DO-MINE 데이터 처리 워크플로우 5단계,326795267,온보딩_개요,1,2,1,1,1,1,22.2145,2,0.7798,22.2145,0.7839,326795267,271286320,326795267,326795267,326795267 / 271286320 / 370278492 / 38273486 / 314212354
7,9,semantic,answerable,positive,신입사원 수습 평가할 때 중요하게 보는 기준이 뭐야?,101220355,신규입사자 온보딩 가이드,0,2,2,3,3,0,,2,0.7169,17.9047,0.7178,346882050,168001537,168001537,346882050,346882050 / 168001537 / 101220355 / 25591877 / 38338561
8,10,semantic,answerable,positive,AI가 거짓말하거나 헛소리하는 거 막는 특허 기술 있어?,326795267,온보딩_개요,11,3,5,8,6,20,10.8076,5,0.6952,20.1394,0.7208,301039621,88211474,88211474,301039621,301039621 / 88211474 / 364707842 / 355237899 / 383778818
9,11,semantic,answerable,positive,익명으로 안전이나 고충을 제보하려면 어떤 방식이 있어?,211255305,안전보건 관리 및 근로자 참여 정책,2,4,2,1,1,2,21.5302,6,0.6779,31.5536,0.7011,211583004,379420675,379420675,211255305,211255305 / 334921750 / 232685573 / 385646645 / 353894426
10,12,semantic,answerable,positive,가짜 답변을 먼저 만들어서 벡터 검색 정확도 높이는 기법,326795267,온보딩_개요,1,25,6,4,3,1,19.9967,39,0.6973,19.9967,0.7342,326795267,38306025,38306025,169508988,169508988 / 38305935 / 38273237 / 326795267 / 287932431
11,13,semantic,answerable,positive,지식베이스 만들고 파일 올리면 어떤 과정 거쳐서 인덱싱돼?,382173195,데모 플레이북 (DO 2.0),0,0,0,0,0,0,,0,,15.8403,0.6988,39878671,332791822,332791822,93749284,93749284 / 39878671 / 332791822 / 320602113 / 382697485
12,14,semantic,answerable,positive,안전이나 직장 내 고충은 어디까지 익명으로 제보할 수 있어?,211255305,안전보건 관리 및 근로자 참여 정책,1,2,2,1,1,1,33.687,2,0.6781,33.687,0.6831,211255305,379420675,211583004,211255305,211255305 / 211583004 / 21102725 / 211451957 / 20709960
13,15,conversational,answerable,positive,AI 쓰다가 에러 나면 지라 티켓에 뭐뭐 적어서 올려야 됨?,382173195,데모 플레이북 (DO 2.0),0,0,0,0,0,0,,0,,18.9141,0.7124,38371376,333742083,333742083,333742083,333742083 / 201556232 / 38371376 / 350257153 / 190611459
14,16,conversational,answerable,positive,회의록은 비공개로 만들어도 되는 거야?,156368913,컨플루언스 회의록 운영 안내,8,6,6,5,5,16,23.1345,9,0.7092,42.4276,0.7513,163545122,198213653,163545122,198213653,198213653 / 163545122 / 155779075 / 156008510 / 156368913
15,17,conversational,answerable,positive,모델 비공개로 돌려놓으면 Knowledge Base도 자동으로 비공개 됨?,382173195,데모 플레이북 (DO 2.0),2,1,1,1,1,2,25.8831,1,0.815,35.6112,0.815,163545122,382173195,382173195,382173195,382173195 / 382697485 / 279838722 / 332791822 / 70910194
16,18,conversational,answerable,positive,사업기획팀에 누가 있는지 이름 좀 다 알려줘,302448676,사업기획팀 온보딩 커리큘럼,4,6,2,2,2,25,20.5486,7,0.7249,21.9411,0.7371,117964974,117964974,117964974,117964974,117964974 / 302448676 / 118128642 / 330989579 / 21266433
17,22,table,answerable,positive,'AI 품질·성능 모니터링 및 거버넌스' 서비스에 포함되는 세부 모듈명은?,247889942,web_사업 및 서비스(안),2,2,1,1,1,6,18.6188,2,0.7624,18.9438,0.7645,183665029,383778818,247889942,247889942,247889942 / 370278492 / 242942053 / 349995056 / 207388673
18,24,boundary,answerable,positive,신입사원 온보딩 기간 중 연차는 며칠 부여되나요?,23953680,회사 연차 규정이 궁금해요!,10,3,3,3,4,17,18.5793,6,0.7093,24.3624,0.7521,382173195,96501781,96501781,96501781,96501781 / 101220355 / 23953680 / 302448676 / 382173195
19,25,boundary,not_found,negative,사내 점심 식대 지원 한도는 1인당 얼마인가요?,,,0,0,0,0,0,0,,0,,17.4816,0.6752,55968153,20709960,20709960,21102704,21102704 / 303104013 / 296943618 / 100859946 / 55968153
20,26,boundary,unsupported,positive,DO-MINE에서 음성 파일(STT) 전처리 모듈 설정 방법은?,326795267,온보딩_개요,6,0,16,14,11,9,18.15,0,,22.7033,0.7224,207388673,271286320,271286320,370278492,370278492 / 207388673 / 271286320 / 184156259 / 302317570
21,27,boundary,not_found,negative,회사 헬스장 이용 시간과 신청 방법 알려줘,,,0,0,0,0,0,0,,0,,20.6075,0.7238,184156259,21102725,23921100,23921100,23921100 / 71958601 / 23953680 / 29982760 / 70910194
22,28,boundary,answerable_negative,positive,RAG 2.0 실습에서 Access groups에 사업기획팀 외에 개발팀도 추가해야 하나요?,382173195,데모 플레이북 (DO 2.0),1,12,2,2,1,1,40.8199,16,0.7344,40.8199,0.7815,382173195,184221724,184221724,117964974,117964974 / 382173195 / 118128642 / 184221724 / 145784858
23,31,conversational,answerable,positive,출장이랑 파견은 기간 기준으로 어떻게 구분해?,296943618,여비교통비 규정,1,1,1,1,1,1,21.4751,1,0.6841,21.4751,0.6841,296943618,296943618,296943618,296943618,296943618 / 21102662 / 183599443 / 25755858 / 206667779
24,34,semantic,answerable,positive,이해충돌 가능성이 생기면 회사에서는 어떻게 처리해?,211451957,윤리경영 및 청렴 정책,1,0,6,2,4,1,16.6781,0,,16.6781,0.7112,211451957,211255305,211255305,211255305,211255305 / 211451957 / 356155465 / 20709946 / 395706413
25,36,attachment,answerable,positive,LG유플러스 쪽 운영자 매뉴얼 최신 버전 있어?,99844245,07_운영자 매뉴얼,1,1,1,1,1,1,29.9475,1,0.7981,29.9475,0.7981,99844245,99844245,99844245,99844245,99844245 / 99877042 / 233340960 / 241696807 / 370573391
26,42,boundary,answerable_negative,positive,협력사에서 받는 금품이나 편의는 받아도 돼?,211451957,윤리경영 및 청렴 정책,1,0,8,3,3,1,22.0488,0,,22.0488,0.6853,211451957,71991297,71991297,23953671,23953671 / 30179372 / 211451957 / 71991297 / 25591860
27,43,boundary,answerable_negative,positive,익명 신고했다는 이유로 불이익 줄 수 있어?,211255305,안전보건 관리 및 근로자 참여 정책,2,0,6,4,5,2,22.9392,0,,26.6754,0.7198,211451957,211583004,211583004,211583004,211583004 / 211451957 / 346882050 / 211255305 / 30179372
28,45,table,answerable,positive,본인 결혼하면 경조휴가 며칠이야?,21102662,경조 지급 기준(취업규칙),1,1,1,1,1,1,33.9313,1,0.7758,33.9313,0.7758,21102662,21102662,21102662,21102662,21102662 / 23953671 / 23921100 / 156008510 / 23953680
