id,category,question,page_id,document_title,ground_truth_snippet,answerability,retrieval_scoring,title_leak,subtype,note
att-01,attachment,롯데카드 프로젝트 일정표 파일 있어?,98926876,01_구축 일정 관리(WBS),첨부파일: [롯데카드] 생성형 AI 플랫폼 구축 WBS,answerable,positive,False,attachment_only,'롯데카드'가 문서 제목에는 없고 첨부명에만 있다. attachments 필드 없이는 찾을 수 없는 문항이면서 정답 문서가 하나로 특정된다.
att-02,attachment,사업자등록증 파일 있나요?,20776268,사업자등록증,"첨부파일: 사업자등록증_로이드케이_20251112, (주)로이드케이_정보통신공사업등록증",answerable,positive,True,attachment_only,제목 누출 있음. 첨부 2건이 달린 문서라 둘 다 제시하면 정답이다.
att-03,attachment,LG유플러스 쪽 운영자 매뉴얼 최신 버전 있어?,99844245,07_운영자 매뉴얼,첨부파일: [LGU+] 운영자 매뉴얼-ver1.2(20250507),answerable,positive,True,attachment_only,문서 제목(07_운영자 매뉴얼)만으로는 고객사를 알 수 없다. 첨부명에만 LGU+가 있다.
att-04,attachment,이노비즈 인증 받은 서류 좀 찾아줘,25591826,2025 이노비즈 확인서,첨부파일: 2025 이노비즈확인서,answerable,positive,True,attachment_only,확인서류 계열 첨부 전용 문서가 코퍼스에 다수 있어 변별이 필요한 문항.
att-05,attachment,ESG 경영 방침 문서 있어?,20776301,Mission / Vision / Core Value (MVC),ESG경영 방침_20240904,answerable,positive,False,body_and_attachment,본문과 제목에 'ESG'가 없다. BM25 단독으로는 attachments 필드를 통해 1위지만 하이브리드에서는 벡터 쪽 결과에 밀려 top5에 못 든다(2026-09-16 기준선). 결합 방식이 첨부 신호를 죽이는지 보는 문항이다.
att-06,attachment,제휴병원 할인 혜택 안내문 파일로 받을 수 있어?,37781780,01. 25년 10월 제휴병원 혜택 안내,25년 10월 기업공지 제휴병원 혜택 안내_세이프닥,answerable,positive,True,body_and_attachment,본문에도 혜택 내용이 있어 본문·첨부 양쪽이 맞는 정상 케이스.
att-07,attachment,취업규칙에서 연차는 며칠까지 쓸 수 있어?,25329871,취업규칙,첨부파일: 20260325_취업규칙_V3,unsupported,positive,True,attachment_content,PDF 내용은 색인 대상이 아니다. 파일 위치는 안내하되 연차 일수를 지어내면 실패다.
att-08,attachment,운영자 매뉴얼에 나온 장애 대응 절차 알려줘,99844245,07_운영자 매뉴얼,첨부파일: [LGU+] 운영자 매뉴얼-ver1.2(20250507),unsupported,positive,True,attachment_content,매뉴얼 본문이 없으므로 절차를 서술하면 환각이다.
att-09,attachment,이노비즈 확인서 유효기간 언제까지야?,25591826,2025 이노비즈 확인서,첨부파일: 2025 이노비즈확인서,unsupported,positive,True,attachment_content,확인서 안의 날짜는 읽을 수 없다. 연도(2025)를 유효기간으로 오인하는지도 함께 본다.
att-10,attachment,2027년 사업계획서 첨부파일 있어?,,,,not_found,negative,False,not_found,코퍼스에 없는 연도의 문서. 비슷한 이름의 사업계획 문서를 끌어와 답하면 실패다.
